ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_CLAS_PERC_REND_DOM_PER_CAP;DESC_CLAS_PERC_REND_DOM_PER_CAP
Indicador  4.2.1.4;2;91.2;33;Rio de Janeiro;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;94.7;33;Rio de Janeiro;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;89.6;33;Rio de Janeiro;9310;2016;49243;Total
Indicador  4.2.1.4;2;94.9;33;Rio de Janeiro;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;33;Rio de Janeiro;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;96.6;33;Rio de Janeiro;9310;2017;49243;Total
Indicador  4.2.1.4;2;90.3;33;Rio de Janeiro;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;33;Rio de Janeiro;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;95.6;33;Rio de Janeiro;9310;2018;49243;Total
Indicador  4.2.1.4;2;93.0;33;Rio de Janeiro;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;33;Rio de Janeiro;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;94.4;33;Rio de Janeiro;9310;2019;49243;Total
Indicador  4.2.1.4;2;92.6;35;São Paulo;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;35;São Paulo;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;95.1;35;São Paulo;9310;2016;49243;Total
Indicador  4.2.1.4;2;97.6;35;São Paulo;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;94.4;35;São Paulo;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;97.7;35;São Paulo;9310;2017;49243;Total
Indicador  4.2.1.4;2;96.4;35;São Paulo;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;35;São Paulo;9310;2018;58677;Maior que o P80
